,coef,std err,t,P>|t|,[0.025,0.975]
adrg_BS2,-18.2733,0.894,-20.429,0,-20.027,-16.52
adrg_BX2,-18.249,0.432,-42.273,0,-19.095,-17.403
adrg_BS1,-18.1926,0.824,-22.086,0,-19.807,-16.578
adrg_FE1,-18.1568,0.731,-24.854,0,-19.589,-16.725
adrg_CB3,-18.0457,0.212,-85.148,0,-18.461,-17.63
adrg_BU3,-17.9835,1.994,-9.019,0,-21.892,-14.075
adrg_IB2,-17.9474,0.259,-69.19,0,-18.456,-17.439
adrg_IR4,-17.9456,1.866,-9.617,0,-21.603,-14.288
adrg_DB2,-17.928,2.817,-6.364,0,-23.45,-12.406
adrg_CR1,-17.8946,2.153,-8.311,0,-22.115,-13.675
adrg_IE1,-17.8041,0.869,-20.483,0,-19.508,-16.1
adrg_KE1,-17.7746,7.445,-2.387,0.017,-32.367,-3.182
adrg_IU2,-17.7611,0.383,-46.332,0,-18.512,-17.01
adrg_FM1,-17.7538,0.948,-18.732,0,-19.611,-15.896
adrg_FQ2,-17.6977,1.417,-12.492,0,-20.475,-14.921
adrg_BD1,-17.6931,0.777,-22.783,0,-19.215,-16.171
adrg_IR3,-17.6786,1.866,-9.475,0,-21.335,-14.022
adrg_CB4,-17.6587,0.347,-50.919,0,-18.338,-16.979
adrg_BX1,-17.6432,0.56,-31.482,0,-18.742,-16.545
adrg_GK1,-17.6209,3.334,-5.286,0,-24.155,-11.087
adrg_JA1,-17.6152,0.568,-30.993,0,-18.729,-16.501
adrg_RD1,-17.5996,2.359,-7.461,0,-22.223,-12.976
adrg_FB2,-17.5963,1.87,-9.409,0,-21.262,-13.931
adrg_FS3,-17.5627,3.332,-5.271,0,-24.093,-11.033
adrg_GK3,-17.4863,0.587,-29.78,0,-18.637,-16.335
adrg_BR1,-17.4577,0.269,-64.899,0,-17.985,-16.93
adrg_FQ1,-17.3881,0.4,-43.457,0,-18.172,-16.604
adrg_BE2,-17.3841,2.25,-7.727,0,-21.794,-12.975
adrg_FF1,-17.346,2.818,-6.155,0,-22.87,-11.822
adrg_IF2,-17.3385,0.208,-83.449,0,-17.746,-16.931
adrg_IR1,-17.2981,0.882,-19.611,0,-19.027,-15.569
adrg_FD2,-17.2892,1.268,-13.64,0,-19.774,-14.805
adrg_BU1,-17.2673,0.987,-17.49,0,-19.202,-15.332
adrg_GB1,-17.2611,0.244,-70.601,0,-17.74,-16.782
adrg_HK1,-17.248,1.497,-11.525,0,-20.181,-14.315
adrg_CB1,-17.2187,0.335,-51.368,0,-17.876,-16.562
adrg_FD1,-17.2028,4.301,-3.999,0,-25.633,-8.772
adrg_EC2,-17.1408,0.943,-18.183,0,-18.989,-15.293
adrg_KR1,-17.1131,3.042,-5.625,0,-23.076,-11.15
adrg_GC1,-17.0937,0.555,-30.8,0,-18.182,-16.006
adrg_BB1,-17.0794,0.488,-35.016,0,-18.035,-16.123
adrg_TT3,-16.9099,3.042,-5.559,0,-22.872,-10.948
adrg_GB2,-16.867,0.273,-61.771,0,-17.402,-16.332
adrg_ZC1,-16.8539,1.27,-13.267,0,-19.344,-14.364
adrg_GK2,-16.7785,0.52,-32.263,0,-17.798,-15.759
adrg_IC3,-16.7767,0.26,-64.479,0,-17.287,-16.267
adrg_BY1,-16.7406,0.244,-68.631,0,-17.219,-16.263
adrg_GS1,-16.7034,0.272,-61.447,0,-17.236,-16.171
adrg_BY2,-16.6589,0.359,-46.42,0,-17.362,-15.956
adrg_YC2,-16.6388,4.301,-3.868,0,-25.069,-8.209
adrg_BC2,-16.6347,1.56,-10.662,0,-19.693,-13.577
adrg_LG1,-16.5919,0.375,-44.278,0,-17.326,-15.857
adrg_LM1,-16.5665,1.529,-10.833,0,-19.564,-13.569
adrg_BB2,-16.509,0.26,-63.496,0,-17.019,-15.999
adrg_XR1,-16.4853,1.106,-14.901,0,-18.654,-14.317
adrg_IF1,-16.4293,0.231,-71.271,0,-16.881,-15.977
adrg_BR2,-16.4239,0.184,-89.404,0,-16.784,-16.064
adrg_JA2,-16.3852,1.218,-13.449,0,-18.773,-13.997
adrg_RU2,-16.3485,0.448,-36.518,0,-17.226,-15.471
adrg_IS2,-16.3186,0.805,-20.274,0,-17.896,-14.741
adrg_HD3,-16.2922,0.181,-90.197,0,-16.646,-15.938
adrg_GR1,-16.2815,0.266,-61.266,0,-16.802,-15.761
adrg_GT1,-16.2448,1.004,-16.184,0,-18.212,-14.277
adrg_KD1,-16.1938,0.528,-30.643,0,-17.23,-15.158
adrg_IS3,-16.1793,0.49,-32.993,0,-17.14,-15.218
adrg_HD4,-16.1316,0.988,-16.32,0,-18.069,-14.194
adrg_FR1,-16.1287,0.528,-30.57,0,-17.163,-15.095
adrg_ID2,-16.108,0.366,-44.034,0,-16.825,-15.391
adrg_FQ3,-16.1075,1.595,-10.102,0,-19.233,-12.982
adrg_CB2,-16.1043,0.993,-16.225,0,-18.05,-14.159
adrg_GE2,-16.0919,0.879,-18.312,0,-17.814,-14.37
adrg_IJ1,-16.0789,1.528,-10.521,0,-19.074,-13.083
adrg_CS1,-16.0612,0.853,-18.82,0,-17.734,-14.389
adrg_HR1,-16.0498,0.338,-47.459,0,-16.713,-15.387
adrg_KU1,-16.0364,3.725,-4.305,0,-23.337,-8.736
adrg_IU3,-15.9304,0.776,-20.537,0,-17.451,-14.41
adrg_BW2,-15.9111,1.266,-12.566,0,-18.393,-13.429
adrg_VD1,-15.879,0.545,-29.119,0,-16.948,-14.81
adrg_KD2,-15.852,1.305,-12.149,0,-18.409,-13.295
adrg_KC1,-15.8347,0.689,-22.992,0,-17.185,-14.485
adrg_HK2,-15.7956,0.309,-51.145,0,-16.401,-15.19
adrg_US2,-15.7912,7.445,-2.121,0.034,-30.383,-1.199
adrg_FD4,-15.7896,1.174,-13.444,0,-18.091,-13.488
adrg_OC1,-15.7806,0.405,-38.924,0,-16.575,-14.986
adrg_MK1,-15.7774,2.817,-5.6,0,-21.299,-10.256
adrg_NA2,-15.7302,0.589,-26.718,0,-16.884,-14.576
